iter	Passed	Remaining
0	108	108623
1	110	55207
2	112	37427
3	114	28475
4	116	23172
5	118	19677
6	121	17173
7	123	15315
8	125	13836
9	127	12659
10	129	11672
11	132	10906
12	134	10233
13	136	9608
14	139	9134
15	141	8696
16	143	8314
17	146	8003
18	149	7699
19	151	7433
20	154	7190
21	156	6974
22	159	6773
23	162	6588
24	164	6411
25	166	6243
26	169	6104
27	171	5962
28	174	5830
29	176	5709
30	179	5605
31	182	5507
32	184	5417
33	187	5324
34	189	5229
35	192	5152
36	195	5083
37	198	5012
38	200	4941
39	202	4861
40	205	4810
41	207	4742
42	210	4686
43	212	4624
44	215	4571
45	217	4514
46	219	4459
47	222	4410
48	225	4368
49	227	4330
50	230	4286
51	232	4243
52	235	4202
53	237	4168
54	240	4138
55	243	4097
56	245	4065
57	248	4029
58	250	3992
59	253	3964
60	255	3929
61	257	3900
62	260	3869
63	263	3853
64	266	3840
65	269	3817
66	273	3803
67	274	3765
68	277	3748
69	280	3724
70	283	3703
71	285	3680
72	287	3655
73	290	3638
74	293	3614
75	295	3596
76	297	3572
77	300	3547
78	302	3523
79	304	3502
80	306	3478
81	308	3455
82	310	3435
83	312	3411
84	314	3389
85	317	3370
86	318	3342
87	320	3323
88	323	3309
89	326	3298
90	328	3282
91	330	3265
92	333	3250
93	335	3234
94	337	3213
95	340	3204
96	342	3187
97	344	3171
98	347	3160
99	349	3143
100	351	3132
101	353	3110
102	355	3095
103	357	3083
104	360	3068
105	362	3053
106	364	3041
107	366	3029
108	369	3024
109	372	3014
110	375	3005
111	378	2997
112	380	2983
113	383	2977
114	385	2967
115	387	2955
116	390	2946
117	392	2936
118	395	2928
119	398	2919
120	400	2910
121	402	2898
122	404	2880
123	406	2871
124	408	2862
125	411	2852
126	413	2843
127	415	2829
128	417	2819
129	420	2812
130	422	2801
131	424	2792
132	427	2785
133	429	2775
134	432	2769
135	434	2763
136	438	2760
137	440	2751
138	443	2744
139	445	2737
140	447	2728
141	450	2720
142	452	2710
143	454	2702
144	457	2699
145	460	2691
146	463	2687
147	465	2678
148	468	2673
149	471	2670
150	473	2663
151	476	2658
152	478	2650
153	481	2646
154	484	2639
155	486	2631
156	488	2624
157	491	2617
158	493	2609
159	495	2602
160	498	2595
161	500	2588
162	502	2579
163	505	2574
164	507	2566
165	509	2557
166	511	2551
167	513	2544
168	516	2537
169	518	2531
170	520	2524
171	522	2517
172	525	2511
173	527	2505
174	530	2498
175	532	2495
176	535	2491
177	538	2486
178	540	2481
179	543	2476
180	544	2466
181	547	2461
182	550	2456
183	552	2452
184	555	2448
185	558	2442
186	560	2436
187	562	2430
188	565	2425
189	567	2420
190	570	2414
191	573	2413
192	576	2411
193	579	2407
194	582	2403
195	584	2397
196	586	2392
197	589	2386
198	591	2380
199	593	2374
200	595	2367
201	597	2362
202	599	2355
203	601	2348
204	604	2343
205	606	2338
206	608	2331
207	610	2326
208	613	2321
209	616	2317
210	619	2315
211	621	2311
212	624	2306
213	626	2301
214	629	2298
215	631	2292
216	634	2287
217	636	2281
218	637	2275
219	640	2271
220	642	2266
221	644	2258
222	646	2253
223	648	2247
224	650	2240
225	652	2234
226	654	2228
227	656	2222
228	658	2215
229	660	2210
230	661	2203
231	663	2197
232	666	2192
233	667	2186
234	669	2178
235	671	2173
236	673	2167
237	675	2161
238	677	2156
239	679	2150
240	680	2143
241	682	2136
242	684	2132
243	686	2127
244	688	2121
245	690	2116
246	692	2111
247	694	2104
248	696	2099
249	697	2093
250	699	2086
251	701	2081
252	702	2075
253	704	2069
254	705	2062
255	707	2056
256	709	2050
257	710	2044
258	712	2038
259	714	2033
260	716	2028
261	717	2021
262	719	2017
263	721	2011
264	723	2005
265	724	2000
266	726	1995
267	728	1990
268	730	1985
269	732	1980
270	734	1975
271	736	1970
272	737	1964
273	740	1961
274	742	1957
275	744	1954
276	746	1949
277	748	1943
278	749	1937
279	751	1933
280	753	1927
281	755	1923
282	757	1918
283	758	1913
284	760	1907
285	761	1901
286	763	1897
287	765	1891
288	766	1886
289	768	1881
290	770	1876
291	771	1871
292	773	1865
293	775	1861
294	776	1856
295	778	1851
296	779	1845
297	781	1841
298	782	1835
299	784	1830
300	785	1824
301	787	1820
302	789	1815
303	790	1810
304	792	1805
305	794	1800
306	795	1796
307	797	1791
308	798	1786
309	800	1782
310	802	1778
311	804	1773
312	806	1769
313	808	1765
314	809	1760
315	810	1755
316	812	1751
317	814	1746
318	815	1741
319	817	1738
320	819	1733
321	821	1728
322	822	1724
323	824	1720
324	826	1716
325	827	1711
326	829	1706
327	831	1702
328	832	1698
329	834	1693
330	836	1690
331	838	1686
332	840	1682
333	841	1677
334	843	1674
335	845	1670
336	846	1665
337	848	1661
338	850	1657
339	851	1653
340	853	1649
341	855	1646
342	857	1642
343	859	1638
344	861	1634
345	863	1631
346	866	1629
347	868	1626
348	870	1623
349	871	1618
350	873	1614
351	875	1611
352	876	1607
353	878	1603
354	880	1600
355	882	1596
356	884	1592
357	886	1589
358	888	1585
359	889	1581
360	891	1577
361	893	1573
362	894	1570
363	896	1566
364	898	1562
365	900	1559
366	902	1556
367	903	1552
368	905	1548
369	907	1545
370	909	1541
371	911	1538
372	913	1534
373	915	1532
374	917	1529
375	919	1525
376	921	1523
377	924	1520
378	925	1517
379	927	1512
380	929	1509
381	931	1507
382	933	1503
383	935	1500
384	938	1498
385	939	1495
386	941	1492
387	944	1489
388	946	1486
389	949	1484
390	951	1481
391	953	1479
392	955	1476
393	958	1473
394	960	1471
395	963	1468
396	965	1466
397	968	1464
398	970	1461
399	971	1457
400	974	1455
401	976	1452
402	978	1448
403	980	1447
404	982	1444
405	985	1441
406	987	1439
407	990	1436
408	993	1435
409	995	1433
410	998	1430
411	1001	1428
412	1003	1426
413	1006	1424
414	1009	1422
415	1011	1419
416	1013	1416
417	1014	1413
418	1016	1410
419	1019	1407
420	1021	1404
421	1023	1401
422	1025	1398
423	1027	1395
424	1030	1394
425	1033	1392
426	1035	1389
427	1037	1387
428	1039	1383
429	1041	1380
430	1043	1377
431	1045	1375
432	1048	1372
433	1050	1369
434	1052	1366
435	1054	1364
436	1056	1360
437	1058	1358
438	1060	1355
439	1062	1352
440	1064	1349
441	1066	1346
442	1068	1343
443	1071	1341
444	1073	1338
445	1075	1335
446	1076	1332
447	1078	1329
448	1080	1326
449	1082	1323
450	1085	1320
451	1087	1318
452	1089	1315
453	1092	1313
454	1094	1310
455	1096	1308
456	1099	1305
457	1101	1303
458	1104	1301
459	1106	1299
460	1109	1297
461	1111	1294
462	1114	1292
463	1116	1289
464	1118	1287
465	1120	1284
466	1122	1281
467	1125	1278
468	1127	1276
469	1129	1273
470	1131	1270
471	1133	1267
472	1135	1265
473	1137	1262
474	1140	1260
475	1142	1257
476	1144	1255
477	1147	1252
478	1149	1250
479	1153	1249
480	1155	1246
481	1157	1243
482	1159	1241
483	1161	1238
484	1164	1236
485	1165	1233
486	1167	1230
487	1169	1227
488	1171	1224
489	1173	1221
490	1175	1218
491	1177	1215
492	1179	1213
493	1181	1210
494	1183	1207
495	1185	1204
496	1187	1201
497	1189	1199
498	1192	1197
499	1194	1194
500	1196	1192
501	1198	1188
502	1199	1185
503	1201	1182
504	1203	1179
505	1205	1177
506	1208	1174
507	1210	1171
508	1211	1168
509	1214	1166
510	1216	1163
511	1217	1160
512	1219	1157
513	1221	1155
514	1223	1152
515	1224	1149
516	1227	1146
517	1228	1143
518	1230	1140
519	1232	1137
520	1234	1134
521	1236	1131
522	1237	1129
523	1240	1126
524	1241	1123
525	1243	1120
526	1245	1117
527	1247	1114
528	1248	1111
529	1250	1108
530	1252	1105
531	1253	1102
532	1254	1099
533	1256	1096
534	1258	1093
535	1259	1090
536	1261	1088
537	1263	1085
538	1265	1082
539	1266	1079
540	1268	1076
541	1270	1073
542	1272	1071
543	1274	1068
544	1276	1065
545	1277	1062
546	1279	1059
547	1281	1057
548	1283	1054
549	1285	1051
550	1286	1048
551	1288	1045
552	1290	1042
553	1291	1039
554	1293	1036
555	1295	1034
556	1297	1031
557	1299	1029
558	1301	1026
559	1303	1024
560	1304	1021
561	1307	1019
562	1309	1016
563	1311	1013
564	1312	1010
565	1314	1007
566	1316	1005
567	1317	1002
568	1319	999
569	1321	996
570	1323	994
571	1325	991
572	1327	988
573	1328	985
574	1329	982
575	1331	979
576	1333	977
577	1334	974
578	1336	971
579	1337	968
580	1339	965
581	1340	963
582	1342	960
583	1344	957
584	1345	954
585	1347	952
586	1348	949
587	1350	946
588	1352	944
589	1355	941
590	1357	939
591	1359	937
592	1361	934
593	1363	932
594	1365	929
595	1367	927
596	1369	924
597	1371	922
598	1373	919
599	1375	917
600	1377	914
601	1379	912
602	1381	909
603	1383	907
604	1385	904
605	1387	901
606	1389	899
607	1390	896
608	1392	894
609	1394	891
610	1396	889
611	1398	886
612	1400	884
613	1402	881
614	1404	879
615	1406	877
616	1408	874
617	1411	872
618	1414	870
619	1415	867
620	1418	865
621	1420	863
622	1422	860
623	1425	859
624	1427	856
625	1430	854
626	1432	852
627	1434	849
628	1436	847
629	1439	845
630	1441	842
631	1444	840
632	1446	838
633	1449	836
634	1451	834
635	1453	831
636	1456	829
637	1458	827
638	1460	825
639	1463	823
640	1465	820
641	1467	818
642	1469	815
643	1471	813
644	1474	811
645	1476	809
646	1479	807
647	1481	804
648	1483	802
649	1485	800
650	1487	797
651	1489	795
652	1492	793
653	1494	790
654	1496	788
655	1499	786
656	1502	784
657	1504	782
658	1506	779
659	1509	777
660	1512	775
661	1514	773
662	1516	770
663	1519	768
664	1522	766
665	1524	764
666	1527	762
667	1529	760
668	1531	757
669	1533	755
670	1535	753
671	1537	750
672	1539	748
673	1541	745
674	1543	743
675	1545	740
676	1547	738
677	1549	736
678	1551	733
679	1554	731
680	1555	728
681	1557	726
682	1559	723
683	1560	721
684	1562	718
685	1564	715
686	1566	713
687	1567	711
688	1569	708
689	1571	705
690	1573	703
691	1575	701
692	1577	698
693	1579	696
694	1581	693
695	1582	691
696	1584	688
697	1586	686
698	1588	683
699	1590	681
700	1592	679
701	1593	676
702	1595	673
703	1597	671
704	1599	669
705	1600	666
706	1601	663
707	1603	661
708	1605	658
709	1606	656
710	1608	653
711	1610	651
712	1611	648
713	1613	646
714	1615	643
715	1617	641
716	1619	639
717	1621	636
718	1622	634
719	1624	631
720	1625	629
721	1627	626
722	1629	624
723	1631	621
724	1632	619
725	1634	616
726	1636	614
727	1637	611
728	1640	609
729	1641	607
730	1643	604
731	1645	602
732	1648	600
733	1650	598
734	1653	596
735	1655	593
736	1657	591
737	1659	589
738	1661	586
739	1663	584
740	1665	582
741	1667	579
742	1668	577
743	1670	574
744	1672	572
745	1674	570
746	1676	567
747	1678	565
748	1680	563
749	1681	560
750	1684	558
751	1685	555
752	1687	553
753	1689	551
754	1691	548
755	1692	546
756	1694	543
757	1696	541
758	1698	539
759	1699	536
760	1701	534
761	1704	532
762	1705	529
763	1707	527
764	1709	525
765	1710	522
766	1712	520
767	1714	517
768	1716	515
769	1717	513
770	1719	510
771	1721	508
772	1723	506
773	1725	503
774	1727	501
775	1728	499
776	1730	496
777	1732	494
778	1734	492
779	1736	489
780	1738	487
781	1740	485
782	1741	482
783	1743	480
784	1745	478
785	1747	475
786	1749	473
787	1751	471
788	1752	468
789	1754	466
790	1756	463
791	1758	461
792	1760	459
793	1761	457
794	1763	454
795	1765	452
796	1766	450
797	1768	447
798	1770	445
799	1772	443
800	1773	440
801	1776	438
802	1778	436
803	1781	434
804	1783	431
805	1785	429
806	1786	427
807	1788	425
808	1790	422
809	1791	420
810	1792	417
811	1794	415
812	1796	413
813	1797	410
814	1799	408
815	1801	406
816	1803	403
817	1804	401
818	1806	399
819	1808	396
820	1809	394
821	1811	392
822	1813	390
823	1815	387
824	1816	385
825	1817	382
826	1819	380
827	1821	378
828	1823	376
829	1824	373
830	1826	371
831	1828	369
832	1830	366
833	1831	364
834	1833	362
835	1834	359
836	1836	357
837	1838	355
838	1839	353
839	1841	350
840	1843	348
841	1845	346
842	1847	344
843	1848	341
844	1850	339
845	1852	337
846	1853	334
847	1855	332
848	1857	330
849	1859	328
850	1860	325
851	1863	323
852	1865	321
853	1866	319
854	1868	316
855	1870	314
856	1872	312
857	1873	310
858	1875	307
859	1876	305
860	1878	303
861	1880	301
862	1882	298
