iter	Passed	Remaining
0	172	171906
1	173	86750
2	175	58272
3	176	44038
4	178	35484
5	180	29858
6	182	25891
7	184	22827
8	185	20437
9	187	18535
10	188	16966
11	190	15656
12	191	14571
13	193	13660
14	196	12885
15	197	12166
16	199	11523
17	200	10955
18	202	10447
19	203	9983
20	205	9566
21	206	9194
22	208	8871
23	210	8562
24	211	8262
25	213	7994
26	214	7743
27	216	7515
28	217	7298
29	219	7094
30	221	6926
31	223	6761
32	225	6595
33	226	6442
34	228	6296
35	229	6153
36	231	6031
37	233	5903
38	235	5794
39	236	5687
40	238	5579
41	240	5478
42	241	5380
43	243	5284
44	244	5192
45	246	5101
46	248	5040
47	250	4970
48	251	4890
49	253	4815
50	255	4746
51	256	4676
52	258	4610
53	259	4545
54	261	4499
55	263	4443
56	265	4386
57	266	4333
58	268	4281
59	269	4229
60	271	4177
61	273	4132
62	274	4087
63	276	4045
64	278	4007
65	280	3967
66	281	3926
67	283	3883
68	284	3842
69	286	3805
70	288	3769
71	289	3734
72	291	3702
73	293	3668
74	294	3634
75	296	3599
76	297	3568
77	299	3539
78	301	3510
79	302	3479
80	304	3454
81	306	3428
82	307	3393
83	308	3365
84	310	3338
85	311	3312
86	313	3287
87	314	3263
88	316	3238
89	317	3213
90	319	3195
91	322	3179
92	323	3157
93	325	3134
94	326	3111
95	328	3090
96	329	3067
97	330	3045
98	332	3024
99	333	3003
100	335	2983
101	336	2966
102	338	2950
103	340	2934
104	342	2917
105	343	2900
106	345	2884
107	347	2867
108	348	2851
109	350	2836
110	352	2821
111	353	2804
112	355	2791
113	357	2775
114	358	2759
115	360	2743
116	361	2727
117	363	2714
118	365	2707
119	367	2695
120	369	2683
121	370	2667
122	372	2653
123	373	2638
124	374	2624
125	376	2610
126	377	2596
127	379	2583
128	380	2570
129	382	2562
130	384	2550
131	385	2536
132	387	2525
133	389	2514
134	390	2503
135	392	2492
136	394	2482
137	395	2472
138	397	2462
139	398	2449
140	400	2438
141	401	2425
142	402	2414
143	404	2403
144	405	2393
145	407	2384
146	409	2377
147	411	2368
148	412	2358
149	414	2348
150	416	2339
151	417	2330
152	419	2320
153	420	2309
154	421	2300
155	423	2292
156	425	2282
157	426	2273
158	428	2264
159	429	2254
160	430	2242
161	431	2234
162	433	2224
163	434	2215
164	436	2207
165	437	2199
166	439	2191
167	440	2183
168	442	2176
169	444	2169
170	446	2162
171	447	2153
172	448	2144
173	450	2137
174	452	2130
175	453	2124
176	455	2117
177	456	2109
